TypeOfVisitor,UserPage VisitDuration,Bounce Rate ,WebPageValue,BrowserServer,InformationRelatedPageVisitDuration ,Month,ExitRate,ProductRelatedPages ,ProductRelatedPageVisitDuration,DischargePattern,InformationRelatedPage,Weekend,Holiday,Area,OperatingSystem,UserRelatedPages,Buy 
Returning_Visitor,136,0,0,2,138,Mar,0.00969697,54,2631.1,2,3,FALSE,0,1,1,2,0
Returning_Visitor,34.25,0.007309999,0,2,68.5,Nov,0.013519938,385,14505.72725,3,5,FALSE,0,3,3,2,0
Returning_Visitor,0,0.013636364,0,2,0,Dec,0.025515152,111,1624.75,2,0,FALSE,0,1,2,0,0
Returning_Visitor,0,0.007017544,0,2,0,Nov,0.027875244,57,1091.005876,2,0,FALSE,0,6,2,0,0
Returning_Visitor,0,0.2,0,4,0,June,0.2,1,0,3,0,FALSE,0,9,2,0,0
Returning_Visitor,0,0.066666667,0,4,0,Aug,0.133333333,3,15.2,1,0,TRUE,0,1,2,0,0
Returning_Visitor,0,0.009459459,0,2,0,Sep,0.03816999,37,1489.590909,4,0,FALSE,0,2,3,0,0
Returning_Visitor,0,0,0,2,65,May,0.020512821,13,1248,6,2,FALSE,0,8,1,0,0
Returning_Visitor,0,0,0,2,0,May,0.005098039,17,465.6666667,2,0,FALSE,0,1,3,0,0
Returning_Visitor,0,0,0,2,2,Dec,0.013333333,16,323.2333333,8,1,FALSE,0,8,3,0,0
Returning_Visitor,0,0,0,2,0,May,0.026086957,23,790.1666667,13,0,FALSE,0.8,2,3,0,0
Returning_Visitor,0,0,0,2,312,May,0.002105263,18,782.5,18,10,TRUE,0,1,3,0,0
Returning_Visitor,0,0.016666667,0,2,0,Nov,0.066666667,12,1437.75,1,0,FALSE,0,3,2,0,0
Returning_Visitor,0,0.2,0,2,0,May,0.2,1,0,3,0,FALSE,0,3,3,0,0
Returning_Visitor,0,0.00952381,0,4,0,Nov,0.033333333,21,499.75,10,0,FALSE,0,3,2,0,1
Returning_Visitor,0,0,0,5,0,Nov,0.0125,16,530.625,3,0,,0,3,2,0,0
,16,0,0,2,943,Nov,0.0375,7,935.6666667,6,5,TRUE,0,3,2,,1
New_Visitor,0,0.009090909,0,1,94.7,Jul,0.004545455,20,366.6166667,4,3,FALSE,0,2,1,0,0
Returning_Visitor,0,0.2,0,3,0,Aug,0.2,1,0,2,0,TRUE,0,2,3,0,0
Returning_Visitor,225.3666667,0.015510204,0,1,116.9607143,Jul,0.011281179,42,539.227381,4,8,FALSE,0,1,1,4,1
Returning_Visitor,0,0.036538462,0,2,0,Nov,0.054230769,26,1312.333333,13,0,FALSE,0,1,3,0,0
Returning_Visitor,0,0.053333333,0,1,0,May,0.075,10,127.75,3,0,FALSE,0,2,1,0,0
Returning_Visitor,0,0.007692308,0,2,0,Mar,0.012820513,13,1476.3,8,0,FALSE,0,3,2,0,0
Returning_Visitor,0,0,0,2,0,Nov,0.028571429,7,914.5,1,0,FALSE,0,2,2,0,0
Returning_Visitor,16,0.006060606,0,4,18,May,0.033333333,33,504,4,1,FALSE,0,1,2,1,0
Returning_Visitor,0,0.2,0,7,0,May,0.2,1,0,15,0,FALSE,0,3,6,0,0
Returning_Visitor,60,0,16.14384,1,102.5,Mar,0.014,22,1034.975,2,2,FALSE,0,4,1,3,1
Returning_Visitor,0,0.018181818,24.16451021,2,32.7,Aug,0.036709957,6,812.35,2,2,FALSE,0,1,3,0,0
New_Visitor,0,0.027272727,0,2,0,Nov,0.045454545,11,115.25,10,0,TRUE,0,9,3,0,0
